"Alternative","Distribution","$n$","$\delta$","F","W","L","KW","SW","SW+L"
"one-point","skew 0.5, excess kurtosis 1",50,0.8,"0.990","0.992","0.991","0.993","0.993","0.993"
"one-point","skew 0.5, excess kurtosis 1",50,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",50,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",50,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",100,0,"0.049","0.049","0.049","0.049","0.049","0.050"
"one-point","skew 0.5, excess kurtosis 1",100,0.2,"0.272","0.273","0.273","0.288","0.289","0.289"
"one-point","skew 0.5, excess kurtosis 1",100,0.4,"0.838","0.845","0.840","0.864","0.864","0.864"
"one-point","skew 0.5, excess kurtosis 1",100,0.6,"0.996","0.996","0.996","0.998","0.998","0.998"
"one-point","skew 0.5, excess kurtosis 1",100,0.8,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",100,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 0.5, excess kurtosis 1",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",10,0,"0.049","0.052","0.051","0.046","0.054","0.055"
"one-point","skew 1, excess kurtosis 1.6",10,0.2,"0.066","0.068","0.068","0.063","0.072","0.074"
"one-point","skew 1, excess kurtosis 1.6",10,0.4,"0.121","0.123","0.124","0.119","0.132","0.136"
"one-point","skew 1, excess kurtosis 1.6",10,0.6,"0.229","0.226","0.234","0.231","0.245","0.255"
"one-point","skew 1, excess kurtosis 1.6",10,0.8,"0.392","0.389","0.400","0.405","0.421","0.433"
"one-point","skew 1, excess kurtosis 1.6",10,1,"0.581","0.588","0.591","0.608","0.627","0.632"
"one-point","skew 1, excess kurtosis 1.6",10,1.2,"0.752","0.771","0.764","0.788","0.804","0.802"
"one-point","skew 1, excess kurtosis 1.6",10,1.4,"0.882","0.901","0.890","0.910","0.921","0.917"
"one-point","skew 1, excess kurtosis 1.6",10,1.6,"0.951","0.966","0.957","0.969","0.975","0.971"
"one-point","skew 1, excess kurtosis 1.6",20,0,"0.049","0.052","0.050","0.049","0.052","0.053"
"one-point","skew 1, excess kurtosis 1.6",20,0.2,"0.088","0.091","0.089","0.090","0.095","0.095"
"one-point","skew 1, excess kurtosis 1.6",20,0.4,"0.216","0.219","0.219","0.232","0.240","0.241"
"one-point","skew 1, excess kurtosis 1.6",20,0.6,"0.456","0.467","0.464","0.506","0.514","0.513"
"one-point","skew 1, excess kurtosis 1.6",20,0.8,"0.722","0.749","0.731","0.787","0.794","0.790"
"one-point","skew 1, excess kurtosis 1.6",20,1,"0.904","0.930","0.911","0.946","0.949","0.947"
"one-point","skew 1, excess kurtosis 1.6",20,1.2,"0.980","0.989","0.983","0.992","0.993","0.992"
"one-point","skew 1, excess kurtosis 1.6",20,1.4,"0.997","0.999","0.998","0.999","0.999","0.999"
"one-point","skew 1, excess kurtosis 1.6",20,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",50,0,"0.050","0.052","0.050","0.050","0.050","0.050"
"one-point","skew 1, excess kurtosis 1.6",50,0.2,"0.151","0.152","0.152","0.167","0.167","0.167"
"one-point","skew 1, excess kurtosis 1.6",50,0.4,"0.511","0.527","0.516","0.580","0.580","0.580"
"one-point","skew 1, excess kurtosis 1.6",50,0.6,"0.880","0.903","0.885","0.933","0.933","0.933"
"one-point","skew 1, excess kurtosis 1.6",50,0.8,"0.991","0.995","0.992","0.997","0.997","0.997"
"one-point","skew 1, excess kurtosis 1.6",50,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",50,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",50,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",100,0,"0.050","0.051","0.050","0.050","0.050","0.050"
"one-point","skew 1, excess kurtosis 1.6",100,0.2,"0.277","0.280","0.278","0.314","0.314","0.314"
"one-point","skew 1, excess kurtosis 1.6",100,0.4,"0.837","0.856","0.841","0.899","0.899","0.899"
"one-point","skew 1, excess kurtosis 1.6",100,0.6,"0.996","0.998","0.997","0.999","0.999","0.999"
"one-point","skew 1, excess kurtosis 1.6",100,0.8,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",100,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 1, excess kurtosis 1.6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",10,0,"0.043","0.052","0.046","0.045","0.051","0.052"
"one-point","skew 2, excess kurtosis 6.6",10,0.2,"0.063","0.073","0.066","0.073","0.079","0.080"
"one-point","skew 2, excess kurtosis 6.6",10,0.4,"0.127","0.148","0.137","0.178","0.184","0.186"
"one-point","skew 2, excess kurtosis 6.6",10,0.6,"0.249","0.283","0.267","0.360","0.365","0.367"
"one-point","skew 2, excess kurtosis 6.6",10,0.8,"0.421","0.478","0.452","0.589","0.597","0.594"
"one-point","skew 2, excess kurtosis 6.6",10,1,"0.607","0.689","0.642","0.787","0.794","0.792"
"one-point","skew 2, excess kurtosis 6.6",10,1.2,"0.768","0.852","0.800","0.908","0.913","0.911"
"one-point","skew 2, excess kurtosis 6.6",10,1.4,"0.875","0.936","0.898","0.965","0.967","0.966"
"one-point","skew 2, excess kurtosis 6.6",10,1.6,"0.943","0.979","0.955","0.989","0.990","0.989"
"one-point","skew 2, excess kurtosis 6.6",20,0,"0.046","0.056","0.049","0.048","0.048","0.048"
"one-point","skew 2, excess kurtosis 6.6",20,0.2,"0.084","0.100","0.088","0.121","0.121","0.121"
"one-point","skew 2, excess kurtosis 6.6",20,0.4,"0.226","0.252","0.237","0.384","0.384","0.384"
"one-point","skew 2, excess kurtosis 6.6",20,0.6,"0.473","0.534","0.497","0.742","0.742","0.742"
"one-point","skew 2, excess kurtosis 6.6",20,0.8,"0.732","0.814","0.758","0.944","0.944","0.944"
"one-point","skew 2, excess kurtosis 6.6",20,1,"0.902","0.956","0.920","0.993","0.993","0.993"
"one-point","skew 2, excess kurtosis 6.6",20,1.2,"0.974","0.994","0.981","0.999","0.999","0.999"
"one-point","skew 2, excess kurtosis 6.6",20,1.4,"0.995","1.000","0.997","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",20,1.6,"0.999","1.000","0.999","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",50,0,"0.047","0.053","0.049","0.048","0.048","0.048"
"one-point","skew 2, excess kurtosis 6.6",50,0.2,"0.149","0.161","0.154","0.272","0.272","0.272"
"one-point","skew 2, excess kurtosis 6.6",50,0.4,"0.520","0.567","0.537","0.844","0.844","0.844"
"one-point","skew 2, excess kurtosis 6.6",50,0.6,"0.878","0.929","0.894","0.996","0.996","0.996"
"one-point","skew 2, excess kurtosis 6.6",50,0.8,"0.990","0.998","0.994","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",50,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",50,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",50,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,0,"0.049","0.053","0.051","0.051","0.051","0.051"
"one-point","skew 2, excess kurtosis 6.6",100,0.2,"0.274","0.286","0.281","0.534","0.534","0.534"
"one-point","skew 2, excess kurtosis 6.6",100,0.4,"0.839","0.880","0.850","0.994","0.994","0.994"
"one-point","skew 2, excess kurtosis 6.6",100,0.6,"0.996","0.999","0.998","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,0.8,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,1,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"one-point","skew 2, excess kurtosis 6.6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
